tank;treat;comp;PD;PSV;div;dist;time;dc;ph;prbio;prod;prpro;resp;
5;5;11; 4901.300;0.58441829;1;6;6;3.513;4.4;21.3;0.144;144.8;0.111;
3;6;21;5485.417;0.6329059  ;15;1;1;5.182;15.7;42.7;0.413;6.07;0.241;
3;6;21;5485.417;0.6329059  ;15;1;2;4.766;14.01;16.05;0.399;90.41;0.314;
1;1;4;3572.133;0.6729162;1;0;5;4.289;1.46;63.41;0.396;153.04;0.213;
38;3;21;5485.417;0.6329059 ;15;0;2;4.605;15.25;68.1;0.387;74.37;0.318;
35;3;16;5892.967;0.6028948;15;0;1;9.581;5.6;113.5;0.376;11.29;0.225;
22;3;17;6075.800;0.6443964;15;0;3;5.891;12.62;20.7;0.371;53.2;0.286;
31;4;6;4106.900;0.6198539;1;1;1;7.233;6.72;218.4;0.369;23.45;0.233;
75;3;15;5886.900;0.6351528;15;0;1;6.174;7.84;56.4;0.365;10.28;0.198;
9;2;13;4484.867;0.5180551;9;0;5;5.842;9.11;86.6;0.364;73.97;0.21;
9;2;13;4484.867;0.5180551;9;0;3;6.878;11.13;34.6;0.363;50.4;0.281;
4;3;15;5886.900;0.6351528;15;0;1;5.099;10.02;38.7;0.362;12.62;0.231;
24;6;20;6579.633;0.5983689;15;1;3;5.052;3.89;18.3;0.356;43.9;0.227;
54;4;7;2496.233;0.3513311;1;1;2;4.652;12.39;60.28;0.352;31.02;0.276;
46;3;16;5892.967;0.6028948;15;0;1;5.103;12.13;36.8;0.351;20.26;0.235;
72;6;15;5886.900;0.6351528;15;1;3;5.122;8.18;12.6;0.35;59.3;0.232;
65;1;5;3989.200;0.6198539 ;1;0;3;4.387;1.76;14.7;0.349;40.2;0.259;
50;1;3;3644.667;0.7056692;1;0;1;6.251;9.6;77.5;0.347;24.27;0.246;
38;3;21;5485.417;0.6329059  ;15;0;1;5.232;18;56;0.346;12.1;0.246;
26;3;18;5401.617; 0.6314815;15;0;1;6.413;6.52;61.1;0.343;14.69;0.218;
39;6;17;6075.800;0.6443964;15;1;1;5.786;14.56;50.5;0.338;7.41;0.226;
82;4;5;3989.200;0.6198539 ;1;1;1;5.276;14.76;35.2;0.337;15;0.231;
78;6;21;5485.417;0.6329059  ;15;1;1;5.539;16.06;100.2;0.337;14.83;0.206;
27;1;5;3989.200;0.6198539 ;1;0;3;5.161;8.92;93;0.336;126.8;0.266;
4;3;15;5886.900;0.6351528;15;0;2;5.157;14.69;42.27;0.336;43.05;0.286;
28;5;9;4130.267;0.6809895 ;9;1;1;6.176;4.21;203.9;0.335;12.12;0.199;
64;6;18;5401.617; 0.6314815;15;1;1;5.169;11.31;28.2;0.334;5.66;0.23;
14;3;19;5333.367;0.6592718;15;0;1;5.986;8.91;124.9;0.334;16.71;0.246;
38;3;21;5485.417;0.6329059;15;0;3;5.13;10.72;24.9;0.334;35.8;0.258;
3;6;21;5485.417;0.6329059 ;15;1;3;4.526;6.18;17.2;0.334;52.1;0.225;
36;1;7;2496.233;0.3513311;1;0;1;4.851;6.01;207.8;0.332;10.73;0.21;
16;4;5;3989.200;0.6198539 ;1;1;3;5.578;18.89;10.8;0.331;172.2;0.218;
52;6;19;5333.367;0.6592718;15;1;1;5.907;16.45;31.7;0.331;4.52;0.226;
71;2;11;4901.300;0.5844182;9;0;1;5.25;10.72;46.6;0.329;4.13;0.2;
65;1;5;3989.200;0.6198539 ;1;0;1;5.125;10.46;16;0.327;18;0.186;
5;5;11;4901.300;0.5844182;9;1;1;4.493;11.92;30.1;0.327;8.53;0.219;
81;6;20;6579.633;0.5983689;15;1;1;5.698;3.35;252.1;0.327;38.29;0.185;
12;4;3;3644.667;0.7056692;1;1;1;6.532;7.31;207.8;0.325;15.64;0.244;
23;5;8;4567.150;0.6822085;9;1;2;6.048;6.85;67.32;0.325;53.23;0.284;
47;6;16;5892.967;0.6028948;15;1;1;5.576;10.79;46.2;0.325;7.15;0.228;
8;1;3;3644.667;0.7056692;1;0;1;7.162;1.63;146.8;0.324;12.41;0.218;
50;1;3;3644.667;0.7056692;1;0;3;5.73;10.88;22.6;0.323;106.9;0.259;
51;5;8;4567.150;0.6822085;9;1;3;5.209;3.12;11.3;0.323;40.6;0.208;
2;2;12;4674.067;0.6206363;9;0;2;5.577;2;198.44;0.32;131.9;0.253;
34;5;13;4484.867;0.5180551;9;1;2;4.743;6.97;133.47;0.32;40.51;0.249;
54;4;7;2496.233;0.3513311;1;1;1;6.271;15.36;79.1;0.319;18.62;0.205;
23;5;8;4567.150;0.6822085;9;1;1;7.433;5.43;56.8;0.319;14.79;0.209;
11;3;20;6579.633;0.5983689;15;0;1;5.741;2.14;160.1;0.319;21.73;0.203;
80;5;10;4184.467;0.5680870;9;1;3;4.291;8.74;16.6;0.317;122.5;0.207;
12;4;3;3644.667;0.7056692;1;1;3;6.057;2.7;41.4;0.316;63.7;0.189;
77;1;6;4106.900;0.6198539;1;0;2;5.433;5.86;209.4;0.316;107.44;0.243;
2;2;12;4674.067;0.6206363;9;0;1;5.324;1.83;213.3;0.316;21.29;0.215;
78;6;21;5485.417;0.6329059  ;15;1;2;4.152;10.11;75.93;0.316;37.48;0.27;
77;1;6;4106.900;0.6198539;1;0;1;6.893;8.56;686.9;0.315;39.89;0.218;
71;2;11;4901.300;0.5844182;9;0;5;4.5;6.97;77.4;0.314;94.03;0.192;
48;5;13;4484.867;0.5180551;9;1;2;2.119;6.39;176.91;0.314;57.44;0.274;
4;3;15;5886.900;0.6351528;15;0;3;5.452;8.61;17.2;0.314;47.4;0.272;
67;3;17;6075.800;0.6443964;15;0;2;5.21;18.11;14.09;0.314;68.69;0.319;
72;6;15;5886.900;0.6351528;15;1;1;5.637;14.6;32.9;0.313;9.2;0.195;
26;3;18;5401.617; 0.6314815;15;0;5;4.068;73.84;119.38;0.313;105.48;0.186;
62;2;9;4130.267;0.6809895 ;9;0;1;5.889;26.62;189.8;0.312;11.71;0.19;
67;3;17;6075.800;0.6443964;15;0;3;5.087;13.66;15.7;0.311;83;0.293;
67;3;17;6075.800;0.6443964;15;0;1;6.452;14.77;19.2;0.31;14.8;0.233;
49;3;19;5333.367;0.6592718;15;0;3;5.87;5.24;27.9;0.309;26.2;0.236;
27;1;5;3989.200;0.6198539 ;1;0;1;5.315;5.38;42.3;0.307;17.91;0.195;
16;4;5;3989.200;0.6198539 ;1;1;1;5.323;9.69;78.7;0.307;12.52;0.249;
76;4;6;4106.900;0.6198539;1;1;1;6.329;7.96;151.5;0.307;23.98;0.165;
25;4;7;2496.233;0.3513311;1;1;1;4.921;9.79;38;0.307;15.03;0.21;
10;6;15;5886.900;0.6351528;15;1;1;5.498;6.01;41.5;0.307;7.95;0.218;
15;6;18;5401.617; 0.6314815;15;1;1;5.751;3.72;222.7;0.307;14.38;0.224;
49;3;19;5333.367;0.6592718;15;0;1;6.304;4.29;198;0.307;9.86;0.181;
14;3;19;5333.367;0.6592718;15;0;2;5.086;12.29;36.79;0.307;46.58;0.26;
43;4;3;3644.667;0.7056692;1;1;1;6.122;5.41;118.2;0.305;9.57;0.216;
42;2;8;4567.150;0.6822085;9;0;1;5.453;4.46;25.4;0.305;8.29;0.216;
9;2;13;4484.867;0.5180551;9;0;1;6.426;2.95;103.3;0.305;23.64;0.216;
57;6;17;6075.800;0.6443964;15;1;1;7.021;11.49;45.4;0.305;13.57;0.204;
24;6;20;6579.633;0.5983689;15;1;1;5.819;3.44;122.9;0.305;21.7;0.2;
69;4;2;3706.65;0.7132152;1;1;1;5.872;18.32;240.7;0.303;19.67;0.173;
8;1;3;3644.667;0.7056692;1;0;5;4.284;0.78;26.32;0.303;40.31;0.179;
37;1;6;4106.900;0.6198539;1;0;1;7.352;8.27;240.3;0.303;17.05;0.223;
75;3;15;5886.900;0.6351528;15;0;3;5.717;1.32;50.4;0.303;24.5;0.232;
27;1;5;3989.200;0.6198539 ;1;0;2;5.005;9.99;131.12;0.302;75.25;0.268;
65;1;5;3989.200;0.6198539 ;1;0;4;4.125;2.96;14.97;0.302;27.89;0.229;
29;2;9;4130.267;0.6809895 ;9;0;4;6.965;6.48;87.87;0.302;50.59;0.197;
22;3;17;6075.800;0.6443964;15;0;2;5.443;8.78;24.66;0.302;52.45;0.258;
55;3;18;5401.617; 0.6314815;15;0;1;6.415;4.97;37.6;0.302;12.67;0.216;
56;5;11;4901.300;0.5844182;9;1;3;4.765;6.8;61.4;0.301;39.8;0.2;
26;3;18;5401.617; 0.6314815;15;0;3;5.874;2.43;78.2;0.301;87.7;0.251;
55;3;18;5401.617; 0.6314815;15;0;3;5.37;2.15;109.8;0.301;44.5;0.264;
74;2;10;4184.467;0.5680870;9;0;1;5.559;13.69;41.9;0.3;15.37;0.188;
20;4;1;2141.15;0.3307402;1;1;1;5.642;2.61;172.2;0.299;14.59;0.191;
43;4;3;3644.667;0.7056692;1;1;2;4.857;7.66;161.26;0.299;68.79;0.255;
65;1;5;3989.200;0.6198539 ;1;0;5;4.016;6.33;14.78;0.299;28.96;0.218;
44;2;8;4567.150;0.6822085;9;0;1;6.144;6.22;83.8;0.299;12.57;0.201;
23;5;8;4567.150;0.6822085;9;1;3;6;4.34;9;0.299;23.9;0.209;
