	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21
Potamogeton_zosteriformis	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0
Myriophyllum_verticullatum	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1
Elodea_nuttallii	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1
Ceratophyllum_demersum	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1
Potamogeton_crispus	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1
Crangonyx_richmondensis	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0
Lithobates_catesbeianus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Lithobates_clamitans	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0
Physa_gyrina	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Hyalella_azteca	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1
Helisoma_trivolis	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1
Trichocorixa_sp	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1
Neoplea_striola	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Ambrysus_sp	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
Gyrinus_sp	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Acilius_sp	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
Belostoma_flumireum	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1
Notonecta_undulata	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0
Notonecta_sp	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1
